,Name,Type,Size,Shape,Datatype
0,AwakeEventData,Group,,,
1,AwakeEventData/AIRTR01,Group,,,
2,AwakeEventData/AIRTR01/Acq,Group,,,
3,AwakeEventData/AIRTR01/Acq/numericPosition,Dataset,1,"(1,)",float32
4,AwakeEventData/AIRTR02,Group,,,
5,AwakeEventData/AIRTR02/Acq,Group,,,
6,AwakeEventData/AIRTR02/Acq/numericPosition,Dataset,1,"(1,)",float32
7,AwakeEventData/AWAKEInjPhaseShifter,Group,,,
8,AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback,Group,,,
9,AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback/phaseACurrentValue,Dataset,1,"(1,)",float32
10,AwakeEventData/BLMITT41,Group,,,
11,AwakeEventData/BLMITT41/Acquisition,Group,,,
12,AwakeEventData/BLMITT41/Acquisition/acqDesc,Dataset,1,"(1,)",|S1
13,AwakeEventData/BLMITT41/Acquisition/acqMsg,Dataset,1,"(1,)",|S1
14,AwakeEventData/BLMITT41/Acquisition/acqState,Dataset,1,"(1,)",int32
15,AwakeEventData/BLMITT41/Acquisition/acqTime,Dataset,1,"(1,)",int32
16,AwakeEventData/BLMITT41/Acquisition/alarmStatus,Dataset,40,"(40,)",int16
17,AwakeEventData/BLMITT41/Acquisition/blrSignalStatus,Dataset,40,"(40,)",int16
18,AwakeEventData/BLMITT41/Acquisition/calLosses,Dataset,40,"(40,)",float32
19,AwakeEventData/BLMITT41/Acquisition/calLosses_unit,Dataset,1,"(1,)",|S4
20,AwakeEventData/BLMITT41/Acquisition/calLosses_unitExponent,Dataset,1,"(1,)",int32
21,AwakeEventData/BLMITT41/Acquisition/calThresholds,Dataset,40,"(40,)",float32
22,AwakeEventData/BLMITT41/Acquisition/channelNames,Dataset,15,"(15,)",|S15
23,AwakeEventData/BLMITT41/Acquisition/deviceName,Dataset,1,"(1,)",|S5
24,AwakeEventData/BLMITT41/Acquisition/enableExtFlagBIC,Dataset,2,"(2,)",int32
25,AwakeEventData/BLMITT41/Acquisition/measStamp,Dataset,1,"(1,)",int32
26,AwakeEventData/BLMITT41/Acquisition/nbOfChannels,Dataset,1,"(1,)",int32
27,AwakeEventData/BLMITT41/Acquisition/nbOfMeas,Dataset,1,"(1,)",int32
28,AwakeEventData/BLMITT41/Acquisition/normLosses,Dataset,40,"(40,)",float32
29,AwakeEventData/BLMITT41/Acquisition/observables,Dataset,1,"(1,)",int32
30,AwakeEventData/BLMITT41/Acquisition/rawLosses,Dataset,40,"(40,)",int16
31,AwakeEventData/BLMITT41/Acquisition/superCycleNb,Dataset,1,"(1,)",int32
32,AwakeEventData/BLMITT41/Acquisition/totalGains,Dataset,5,"(5,)",int32
33,AwakeEventData/BOVWA.01TCC4.AWAKECAM01,Group,,,
34,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,Group,,,
35,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamIntensity,Dataset,1,"(1,)",float64
36,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamSize,Dataset,1,"(1,)",float64
37,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogX,Dataset,1,"(1,)",float64
38,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogY,Dataset,1,"(1,)",float64
39,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/height,Dataset,1,"(1,)",int32
40,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAmp,Dataset,1,"(1,)",float64
41,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAvg,Dataset,1,"(1,)",float64
42,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjSigma,Dataset,1,"(1,)",float64
43,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjection,Dataset,2048,"(2048,)",float64
